Cluster,Count
"(3, 0)",38
"(6, 7)",34
"(0, 5)",36
"(2, 0)",36
"(2, 7)",22
"(9, 5)",18
"(3, 8)",7
"(8, 8)",8
"(1, 1)",20
"(8, 4)",40
"(5, 0)",21
"(4, 3)",13
"(7, 4)",41
"(7, 9)",5
"(0, 0)",17
"(2, 2)",16
"(4, 7)",21
"(8, 2)",13
"(5, 8)",34
"(7, 2)",42
"(5, 4)",10
"(7, 6)",44
"(8, 5)",5
"(2, 5)",32
"(5, 9)",6
"(9, 7)",4
"(9, 1)",7
"(1, 7)",18
"(5, 7)",14
"(4, 0)",26
"(3, 6)",48
"(4, 2)",20
"(3, 2)",2
"(8, 0)",14
"(0, 2)",8
"(3, 7)",8
"(8, 9)",5
"(7, 0)",17
"(3, 1)",8
"(7, 3)",7
"(5, 5)",18
"(9, 8)",2
"(1, 8)",29
"(4, 9)",28
"(2, 8)",11
"(8, 7)",4
"(4, 5)",10
"(6, 3)",15
"(3, 3)",18
"(2, 3)",28
"(4, 8)",17
"(1, 3)",19
"(0, 1)",15
"(1, 9)",9
"(5, 1)",52
"(7, 7)",7
"(6, 6)",13
"(2, 6)",9
"(7, 1)",19
"(3, 5)",10
"(2, 4)",7
"(6, 4)",29
"(2, 1)",12
"(4, 6)",20
"(0, 6)",7
"(3, 4)",18
"(0, 8)",57
"(5, 3)",10
"(3, 9)",11
"(4, 4)",9
"(8, 6)",7
"(1, 6)",26
"(5, 2)",20
"(6, 8)",9
"(9, 9)",3
"(0, 4)",7
"(8, 3)",3
"(9, 4)",6
"(6, 9)",12
"(8, 1)",14
"(1, 0)",21
"(0, 3)",9
"(9, 0)",5
"(1, 2)",9
"(9, 6)",3
"(7, 5)",11
"(4, 1)",15
"(1, 4)",4
"(6, 1)",21
"(6, 5)",11
"(9, 3)",14
"(9, 2)",4
"(2, 9)",21
"(6, 2)",7
"(1, 5)",4
"(6, 0)",10
"(0, 9)",4
"(0, 7)",3
"(7, 8)",13
"(5, 6)",5
